學校代碼,類別,學校名稱,核定經費,Unnamed: 4
1,一般大學,國立政治大學," 285,790,000 ",
2,一般大學,國立清華大學," 1,000,000,000 ",
3,一般大學,國立臺灣大學," 1,800,000,000 ",
4,一般大學,國立臺灣師範大學," 206,900,000 ",
5,一般大學,國立成功大學," 1,100,000,000 ",
6,一般大學,國立中興大學," 352,020,000 ",
7,一般大學,國立交通大學," 1,000,000,000 ",
8,一般大學,國立中央大學," 415,460,000 ",
9,一般大學,國立中山大學," 253,030,000 ",
12,一般大學,國立臺灣海洋大學," 135,290,000 ",
13,一般大學,國立中正大學," 163,910,000 ",
14,一般大學,國立高雄師範大學," 40,740,000 ",
15,一般大學,國立彰化師範大學," 58,160,000 ",
16,一般大學,國立陽明大學," 341,900,000 ",
17,一般大學,國立臺北大學," 78,050,000 ",
18,一般大學,國立嘉義大學," 57,450,000 ",
19,一般大學,國立高雄大學," 45,190,000 ",
20,一般大學,國立東華大學," 51,630,000 ",
21,一般大學,國立暨南國際大學," 71,790,000 ",
28,一般大學,國立臺北藝術大學," 48,180,000 ",
29,一般大學,國立臺灣藝術大學," 31,880,000 ",
30,一般大學,國立臺東大學," 50,070,000 ",
31,一般大學,國立宜蘭大學," 54,240,000 ",
32,一般大學,國立聯合大學," 44,760,000 ",
35,一般大學,國立臺南藝術大學," 13,610,000 ",
36,一般大學,國立臺南大學," 45,960,000 ",
37,一般大學,國立臺北教育大學," 52,020,000 ",
39,一般大學,國立臺中教育大學," 45,470,000 ",
44,一般大學,國立體育大學," 39,960,000 ",
48,一般大學,國立金門大學," 34,350,000 ",
49,一般大學,國立臺灣體育運動大學," 30,190,000 ",
52,一般大學,國立屏東大學," 67,740,000 ",
1001,一般大學,東海大學," 123,580,000 ",
1002,一般大學,輔仁大學," 82,900,000 ",
1003,一般大學,東吳大學," 89,680,000 ",
1004,一般大學,中原大學," 135,580,000 ",
1005,一般大學,淡江大學," 89,070,000 ",
1006,一般大學,中國文化大學," 72,310,000 ",
1007,一般大學,逢甲大學," 148,200,000 ",
1008,一般大學,靜宜大學," 86,720,000 ",
1009,一般大學,長庚大學," 169,140,000 ",
1010,一般大學,元智大學," 83,770,000 ",
1011,一般大學,中華大學," 47,320,000 ",
1012,一般大學,大葉大學," 69,640,000 ",
1013,一般大學,華梵大學," 28,870,000 ",
1014,一般大學,義守大學," 68,540,000 ",
1015,一般大學,世新大學," 60,160,000 ",
1016,一般大學,銘傳大學," 73,680,000 ",
1017,一般大學,實踐大學," 66,320,000 ",
1019,一般大學,高雄醫學大學," 100,520,000 ",
1020,一般大學,南華大學," 60,120,000 ",
1021,一般大學,真理大學," 21,540,000 ",
1022,一般大學,大同大學," 39,200,000 ",
1027,一般大學,慈濟大學," 53,750,000 ",
1028,一般大學,臺北醫學大學," 267,400,000 ",
1029,一般大學,中山醫學大學," 58,740,000 ",
1033,一般大學,長榮大學," 53,970,000 ",
1035,一般大學,中國醫藥大學," 202,260,000 ",
1039,一般大學,玄奘大學," 39,170,000 ",
1048,一般大學,亞洲大學," 63,700,000 ",
1049,一般大學,開南大學," 18,710,000 ",
1050,一般大學,佛光大學," 48,420,000 ",
1058,一般大學,明道大學," 16,680,000 ",
1067,一般大學,台灣首府大學," 11,140,000 ",
1079,一般大學,康寧大學," 15,830,000 ",
1125,一般大學,中信金融管理學院," 8,890,000 ",
1176,一般大學,稻江科技暨管理學院," 2,020,000 ",
1195,一般大學,馬偕醫學院," 43,060,000 ",
1196,一般大學,法鼓文理學院," 3,810,000 ",
1R04,一般大學,一貫道天皇學院," 5,170,000 ",
3002,一般大學,臺北市立大學," 44,400,000 ",
